regiao_res,regiao_int,mes,internacoes,evasao_regional
4ª Região - PB,15ª Região - PB,4,13,True
4ª Região - PB,15ª Região - PB,5,20,True
4ª Região - PB,15ª Região - PB,6,20,True
4ª Região - PB,15ª Região - PB,7,17,True
4ª Região - PB,15ª Região - PB,8,20,True
4ª Região - PB,15ª Região - PB,9,17,True
4ª Região - PB,15ª Região - PB,10,8,True
4ª Região - PB,15ª Região - PB,11,14,True
4ª Região - PB,15ª Região - PB,12,19,True
4ª Região - PB,16ª Região - PB,1,277,True
4ª Região - PB,16ª Região - PB,2,238,True
4ª Região - PB,16ª Região - PB,3,299,True
4ª Região - PB,16ª Região - PB,4,260,True
4ª Região - PB,16ª Região - PB,5,279,True
4ª Região - PB,16ª Região - PB,6,288,True
4ª Região - PB,16ª Região - PB,7,261,True
4ª Região - PB,16ª Região - PB,8,291,True
4ª Região - PB,16ª Região - PB,9,306,True
4ª Região - PB,16ª Região - PB,10,262,True
4ª Região - PB,16ª Região - PB,11,212,True
4ª Região - PB,16ª Região - PB,12,172,True
4ª Região - PB,1ª Região Mata Atlântica - PB,1,29,True
4ª Região - PB,1ª Região Mata Atlântica - PB,2,56,True
4ª Região - PB,1ª Região Mata Atlântica - PB,3,21,True
4ª Região - PB,1ª Região Mata Atlântica - PB,4,45,True
4ª Região - PB,1ª Região Mata Atlântica - PB,5,22,True
4ª Região - PB,1ª Região Mata Atlântica - PB,6,38,True
4ª Região - PB,1ª Região Mata Atlântica - PB,7,29,True
4ª Região - PB,1ª Região Mata Atlântica - PB,8,37,True
4ª Região - PB,1ª Região Mata Atlântica - PB,9,32,True
4ª Região - PB,1ª Região Mata Atlântica - PB,10,38,True
4ª Região - PB,1ª Região Mata Atlântica - PB,11,19,True
4ª Região - PB,1ª Região Mata Atlântica - PB,12,40,True
4ª Região - PB,2ª Região - PB,1,3,True
4ª Região - PB,2ª Região - PB,3,7,True
4ª Região - PB,2ª Região - PB,5,2,True
4ª Região - PB,2ª Região - PB,6,1,True
4ª Região - PB,2ª Região - PB,7,2,True
4ª Região - PB,2ª Região - PB,8,7,True
4ª Região - PB,2ª Região - PB,9,1,True
4ª Região - PB,2ª Região - PB,10,2,True
4ª Região - PB,2ª Região - PB,11,1,True
4ª Região - PB,4ª Região - PB,1,201,False
4ª Região - PB,4ª Região - PB,2,249,False
4ª Região - PB,4ª Região - PB,3,276,False
4ª Região - PB,4ª Região - PB,4,340,False
4ª Região - PB,4ª Região - PB,5,240,False
4ª Região - PB,4ª Região - PB,6,309,False
4ª Região - PB,4ª Região - PB,7,330,False
4ª Região - PB,4ª Região - PB,8,287,False
4ª Região - PB,4ª Região - PB,9,257,False
4ª Região - PB,4ª Região - PB,10,285,False
4ª Região - PB,4ª Região - PB,11,227,False
4ª Região - PB,4ª Região - PB,12,237,False
4ª Região - PB,5ª Região - PB,1,16,True
4ª Região - PB,5ª Região - PB,2,4,True
4ª Região - PB,5ª Região - PB,4,1,True
4ª Região - PB,5ª Região - PB,5,1,True
4ª Região - PB,5ª Região - PB,6,1,True
4ª Região - PB,5ª Região - PB,7,2,True
4ª Região - PB,5ª Região - PB,9,15,True
4ª Região - PB,5ª Região - PB,10,8,True
4ª Região - PB,5ª Região - PB,11,2,True
4ª Região - PB,5ª Região - PB,12,2,True
4ª Região - PB,6ª Região - PB,1,1,True
4ª Região - PB,6ª Região - PB,3,1,True
4ª Região - PB,6ª Região - PB,6,2,True
4ª Região - PB,6ª Região - PB,8,1,True
4ª Região - PB,6ª Região - PB,9,1,True
4ª Região - PB,6ª Região - PB,11,3,True
4ª Região - PB,6ª Região - PB,12,4,True
4ª Região - PB,9ª Região - PB,9,1,True
5ª Região - PB,10ª Região - PB,8,1,True
5ª Região - PB,12ª Região - PB,7,1,True
5ª Região - PB,13ª Região - PB,3,1,True
5ª Região - PB,13ª Região - PB,8,2,True
5ª Região - PB,14ª Região - PB,8,1,True
5ª Região - PB,14ª Região - PB,11,1,True
5ª Região - PB,15ª Região - PB,1,1,True
5ª Região - PB,15ª Região - PB,2,2,True
5ª Região - PB,15ª Região - PB,4,1,True
5ª Região - PB,15ª Região - PB,5,6,True
5ª Região - PB,15ª Região - PB,6,2,True
5ª Região - PB,15ª Região - PB,7,4,True
5ª Região - PB,15ª Região - PB,8,3,True
5ª Região - PB,15ª Região - PB,9,5,True
5ª Região - PB,15ª Região - PB,10,2,True
5ª Região - PB,15ª Região - PB,11,1,True
5ª Região - PB,16ª Região - PB,1,288,True
5ª Região - PB,16ª Região - PB,2,220,True
5ª Região - PB,16ª Região - PB,3,257,True
5ª Região - PB,16ª Região - PB,4,249,True
5ª Região - PB,16ª Região - PB,5,291,True
5ª Região - PB,16ª Região - PB,6,270,True
5ª Região - PB,16ª Região - PB,7,273,True
5ª Região - PB,16ª Região - PB,8,281,True
5ª Região - PB,16ª Região - PB,9,295,True
5ª Região - PB,16ª Região - PB,10,269,True
5ª Região - PB,16ª Região - PB,11,232,True
5ª Região - PB,16ª Região - PB,12,186,True
5ª Região - PB,1ª Região Mata Atlântica - PB,1,27,True
5ª Região - PB,1ª Região Mata Atlântica - PB,2,40,True
5ª Região - PB,1ª Região Mata Atlântica - PB,3,31,True
5ª Região - PB,1ª Região Mata Atlântica - PB,4,41,True
5ª Região - PB,1ª Região Mata Atlântica - PB,5,28,True
5ª Região - PB,1ª Região Mata Atlântica - PB,6,31,True
5ª Região - PB,1ª Região Mata Atlântica - PB,7,36,True
5ª Região - PB,1ª Região Mata Atlântica - PB,8,32,True
5ª Região - PB,1ª Região Mata Atlântica - PB,9,25,True
5ª Região - PB,1ª Região Mata Atlântica - PB,10,27,True
5ª Região - PB,1ª Região Mata Atlântica - PB,11,33,True
5ª Região - PB,1ª Região Mata Atlântica - PB,12,22,True
5ª Região - PB,2ª Região - PB,4,1,True
5ª Região - PB,2ª Região - PB,6,2,True
5ª Região - PB,2ª Região - PB,7,2,True
5ª Região - PB,4ª Região - PB,2,1,True
5ª Região - PB,4ª Região - PB,4,6,True
5ª Região - PB,4ª Região - PB,5,4,True
5ª Região - PB,4ª Região - PB,6,3,True
5ª Região - PB,4ª Região - PB,7,2,True
5ª Região - PB,4ª Região - PB,8,6,True
5ª Região - PB,4ª Região - PB,9,4,True
5ª Região - PB,4ª Região - PB,10,3,True
5ª Região - PB,4ª Região - PB,11,5,True
5ª Região - PB,4ª Região - PB,12,2,True
5ª Região - PB,5ª Região - PB,1,304,False
5ª Região - PB,5ª Região - PB,2,343,False
5ª Região - PB,5ª Região - PB,3,453,False
5ª Região - PB,5ª Região - PB,4,433,False
5ª Região - PB,5ª Região - PB,5,439,False
5ª Região - PB,5ª Região - PB,6,370,False
5ª Região - PB,5ª Região - PB,7,460,False
5ª Região - PB,5ª Região - PB,8,430,False
5ª Região - PB,5ª Região - PB,9,454,False
5ª Região - PB,5ª Região - PB,10,415,False
5ª Região - PB,5ª Região - PB,11,362,False
5ª Região - PB,5ª Região - PB,12,403,False
5ª Região - PB,6ª Região - PB,1,1,True
5ª Região - PB,6ª Região - PB,3,3,True
5ª Região - PB,6ª Região - PB,4,2,True
5ª Região - PB,6ª Região - PB,6,3,True
5ª Região - PB,6ª Região - PB,7,6,True
5ª Região - PB,6ª Região - PB,8,4,True
5ª Região - PB,6ª Região - PB,9,1,True
5ª Região - PB,6ª Região - PB,10,8,True
5ª Região - PB,6ª Região - PB,11,1,True
5ª Região - PB,6ª Região - PB,12,1,True
5ª Região - PB,8ª Região - PB,10,1,True
5ª Região - PB,9ª Região - PB,10,1,True
5ª Região - PB,9ª Região - PB,12,1,True
6ª Região - PB,10ª Região - PB,1,14,True
6ª Região - PB,10ª Região - PB,2,12,True
6ª Região - PB,10ª Região - PB,3,9,True
6ª Região - PB,10ª Região - PB,4,6,True
6ª Região - PB,10ª Região - PB,5,12,True
6ª Região - PB,10ª Região - PB,6,1,True
6ª Região - PB,10ª Região - PB,7,7,True
6ª Região - PB,10ª Região - PB,8,5,True
6ª Região - PB,10ª Região - PB,9,6,True
6ª Região - PB,10ª Região - PB,10,6,True
6ª Região - PB,10ª Região - PB,11,3,True
6ª Região - PB,10ª Região - PB,12,4,True
6ª Região - PB,11ª Região - PB,1,1,True
6ª Região - PB,11ª Região - PB,3,5,True
6ª Região - PB,11ª Região - PB,4,5,True
6ª Região - PB,11ª Região - PB,5,2,True
6ª Região - PB,11ª Região - PB,6,2,True
6ª Região - PB,11ª Região - PB,7,4,True
6ª Região - PB,11ª Região - PB,8,3,True
6ª Região - PB,11ª Região - PB,9,1,True
6ª Região - PB,11ª Região - PB,10,2,True
6ª Região - PB,12ª Região - PB,4,3,True
6ª Região - PB,12ª Região - PB,5,1,True
6ª Região - PB,12ª Região - PB,6,2,True
6ª Região - PB,12ª Região - PB,7,1,True
6ª Região - PB,12ª Região - PB,12,2,True
6ª Região - PB,13ª Região - PB,1,5,True
6ª Região - PB,13ª Região - PB,2,12,True
6ª Região - PB,13ª Região - PB,3,14,True
6ª Região - PB,13ª Região - PB,4,14,True
6ª Região - PB,13ª Região - PB,5,25,True
6ª Região - PB,13ª Região - PB,6,11,True
6ª Região - PB,13ª Região - PB,7,16,True
6ª Região - PB,13ª Região - PB,8,15,True
6ª Região - PB,13ª Região - PB,9,19,True
6ª Região - PB,13ª Região - PB,10,12,True
6ª Região - PB,13ª Região - PB,11,9,True
6ª Região - PB,13ª Região - PB,12,11,True
6ª Região - PB,14ª Região - PB,3,1,True
6ª Região - PB,14ª Região - PB,10,1,True
6ª Região - PB,14ª Região - PB,11,1,True
6ª Região - PB,14ª Região - PB,12,1,True
6ª Região - PB,15ª Região - PB,10,1,True
6ª Região - PB,16ª Região - PB,1,123,True
6ª Região - PB,16ª Região - PB,2,141,True
6ª Região - PB,16ª Região - PB,3,130,True
6ª Região - PB,16ª Região - PB,4,145,True
6ª Região - PB,16ª Região - PB,5,161,True
6ª Região - PB,16ª Região - PB,6,153,True
6ª Região - PB,16ª Região - PB,7,137,True
6ª Região - PB,16ª Região - PB,8,148,True
6ª Região - PB,16ª Região - PB,9,148,True
6ª Região - PB,16ª Região - PB,10,157,True
6ª Região - PB,16ª Região - PB,11,97,True
6ª Região - PB,16ª Região - PB,12,89,True
6ª Região - PB,1ª Região Mata Atlântica - PB,1,109,True
6ª Região - PB,1ª Região Mata Atlântica - PB,2,105,True
6ª Região - PB,1ª Região Mata Atlântica - PB,3,118,True
6ª Região - PB,1ª Região Mata Atlântica - PB,4,100,True
6ª Região - PB,1ª Região Mata Atlântica - PB,5,78,True
6ª Região - PB,1ª Região Mata Atlântica - PB,6,116,True
6ª Região - PB,1ª Região Mata Atlântica - PB,7,105,True
6ª Região - PB,1ª Região Mata Atlântica - PB,8,118,True
6ª Região - PB,1ª Região Mata Atlântica - PB,9,94,True
6ª Região - PB,1ª Região Mata Atlântica - PB,10,126,True
6ª Região - PB,1ª Região Mata Atlântica - PB,11,119,True
6ª Região - PB,1ª Região Mata Atlântica - PB,12,112,True
6ª Região - PB,2ª Região - PB,1,1,True
6ª Região - PB,2ª Região - PB,9,1,True
6ª Região - PB,2ª Região - PB,11,3,True
6ª Região - PB,2ª Região - PB,12,3,True
6ª Região - PB,4ª Região - PB,1,1,True
6ª Região - PB,4ª Região - PB,3,10,True
6ª Região - PB,4ª Região - PB,4,1,True
6ª Região - PB,4ª Região - PB,5,9,True
6ª Região - PB,4ª Região - PB,6,1,True
6ª Região - PB,4ª Região - PB,7,6,True
6ª Região - PB,4ª Região - PB,8,3,True
6ª Região - PB,4ª Região - PB,9,19,True
6ª Região - PB,4ª Região - PB,10,7,True
6ª Região - PB,4ª Região - PB,11,1,True
6ª Região - PB,5ª Região - PB,1,8,True
6ª Região - PB,5ª Região - PB,2,10,True
6ª Região - PB,5ª Região - PB,4,22,True
6ª Região - PB,5ª Região - PB,5,4,True
6ª Região - PB,5ª Região - PB,6,1,True
6ª Região - PB,5ª Região - PB,7,5,True
6ª Região - PB,5ª Região - PB,9,2,True
6ª Região - PB,5ª Região - PB,10,2,True
6ª Região - PB,5ª Região - PB,11,2,True
6ª Região - PB,5ª Região - PB,12,1,True
6ª Região - PB,6ª Região - PB,1,771,False
6ª Região - PB,6ª Região - PB,2,728,False
6ª Região - PB,6ª Região - PB,3,893,False
6ª Região - PB,6ª Região - PB,4,880,False
6ª Região - PB,6ª Região - PB,5,934,False
6ª Região - PB,6ª Região - PB,6,944,False
6ª Região - PB,6ª Região - PB,7,941,False
6ª Região - PB,6ª Região - PB,8,1001,False
6ª Região - PB,6ª Região - PB,9,972,False
6ª Região - PB,6ª Região - PB,10,954,False
6ª Região - PB,6ª Região - PB,11,927,False
6ª Região - PB,6ª Região - PB,12,854,False
6ª Região - PB,7ª Região - PB,1,12,True
6ª Região - PB,7ª Região - PB,2,11,True
6ª Região - PB,7ª Região - PB,3,11,True
6ª Região - PB,7ª Região - PB,4,9,True
6ª Região - PB,7ª Região - PB,5,7,True
6ª Região - PB,7ª Região - PB,6,6,True
6ª Região - PB,7ª Região - PB,7,3,True
6ª Região - PB,7ª Região - PB,8,8,True
6ª Região - PB,7ª Região - PB,9,5,True
6ª Região - PB,7ª Região - PB,10,6,True
6ª Região - PB,7ª Região - PB,11,4,True
6ª Região - PB,7ª Região - PB,12,4,True
6ª Região - PB,8ª Região - PB,2,7,True
6ª Região - PB,8ª Região - PB,3,5,True
6ª Região - PB,8ª Região - PB,4,3,True
6ª Região - PB,8ª Região - PB,5,3,True
6ª Região - PB,8ª Região - PB,6,2,True
6ª Região - PB,8ª Região - PB,7,5,True
6ª Região - PB,8ª Região - PB,8,3,True
6ª Região - PB,8ª Região - PB,9,7,True
6ª Região - PB,8ª Região - PB,10,4,True
6ª Região - PB,8ª Região - PB,11,1,True
6ª Região - PB,9ª Região - PB,2,1,True
6ª Região - PB,9ª Região - PB,6,2,True
6ª Região - PB,9ª Região - PB,8,3,True
6ª Região - PB,9ª Região - PB,9,2,True
6ª Região - PB,9ª Região - PB,11,1,True
7ª Região - PB,10ª Região - PB,1,18,True
7ª Região - PB,10ª Região - PB,2,17,True
7ª Região - PB,10ª Região - PB,3,24,True
7ª Região - PB,10ª Região - PB,4,10,True
7ª Região - PB,10ª Região - PB,5,8,True
7ª Região - PB,10ª Região - PB,6,5,True
7ª Região - PB,10ª Região - PB,7,10,True
7ª Região - PB,10ª Região - PB,8,5,True
7ª Região - PB,10ª Região - PB,9,15,True
7ª Região - PB,10ª Região - PB,10,9,True
7ª Região - PB,10ª Região - PB,11,11,True
7ª Região - PB,10ª Região - PB,12,6,True
7ª Região - PB,11ª Região - PB,1,1,True
7ª Região - PB,11ª Região - PB,3,1,True
7ª Região - PB,11ª Região - PB,10,3,True
7ª Região - PB,12ª Região - PB,1,1,True
7ª Região - PB,12ª Região - PB,5,1,True
7ª Região - PB,12ª Região - PB,9,1,True
7ª Região - PB,13ª Região - PB,1,48,True
7ª Região - PB,13ª Região - PB,2,97,True
7ª Região - PB,13ª Região - PB,3,133,True
7ª Região - PB,13ª Região - PB,4,35,True
7ª Região - PB,13ª Região - PB,5,97,True
7ª Região - PB,13ª Região - PB,6,68,True
7ª Região - PB,13ª Região - PB,7,86,True
7ª Região - PB,13ª Região - PB,8,82,True
7ª Região - PB,13ª Região - PB,9,90,True
7ª Região - PB,13ª Região - PB,10,112,True
7ª Região - PB,13ª Região - PB,11,57,True
7ª Região - PB,13ª Região - PB,12,135,True
7ª Região - PB,14ª Região - PB,6,3,True
7ª Região - PB,14ª Região - PB,7,1,True
7ª Região - PB,14ª Região - PB,8,1,True
7ª Região - PB,14ª Região - PB,9,1,True
7ª Região - PB,14ª Região - PB,10,1,True
7ª Região - PB,15ª Região - PB,2,1,True
7ª Região - PB,16ª Região - PB,1,43,True
7ª Região - PB,16ª Região - PB,2,69,True
7ª Região - PB,16ª Região - PB,3,35,True
7ª Região - PB,16ª Região - PB,4,62,True
7ª Região - PB,16ª Região - PB,5,85,True
7ª Região - PB,16ª Região - PB,6,62,True
7ª Região - PB,16ª Região - PB,7,74,True
7ª Região - PB,16ª Região - PB,8,74,True
7ª Região - PB,16ª Região - PB,9,53,True
7ª Região - PB,16ª Região - PB,10,62,True
7ª Região - PB,16ª Região - PB,11,53,True
7ª Região - PB,16ª Região - PB,12,29,True
7ª Região - PB,1ª Região Mata Atlântica - PB,1,60,True
7ª Região - PB,1ª Região Mata Atlântica - PB,2,56,True
7ª Região - PB,1ª Região Mata Atlântica - PB,3,69,True
7ª Região - PB,1ª Região Mata Atlântica - PB,4,65,True
7ª Região - PB,1ª Região Mata Atlântica - PB,5,79,True
7ª Região - PB,1ª Região Mata Atlântica - PB,6,73,True
7ª Região - PB,1ª Região Mata Atlântica - PB,7,91,True
7ª Região - PB,1ª Região Mata Atlântica - PB,8,70,True
7ª Região - PB,1ª Região Mata Atlântica - PB,9,82,True
7ª Região - PB,1ª Região Mata Atlântica - PB,10,77,True
7ª Região - PB,1ª Região Mata Atlântica - PB,11,78,True
7ª Região - PB,1ª Região Mata Atlântica - PB,12,67,True
7ª Região - PB,2ª Região - PB,2,1,True
7ª Região - PB,2ª Região - PB,7,1,True
7ª Região - PB,2ª Região - PB,12,1,True
7ª Região - PB,4ª Região - PB,5,2,True
7ª Região - PB,4ª Região - PB,7,2,True
7ª Região - PB,4ª Região - PB,9,6,True
7ª Região - PB,4ª Região - PB,10,2,True
7ª Região - PB,4ª Região - PB,11,1,True
7ª Região - PB,5ª Região - PB,2,1,True
7ª Região - PB,5ª Região - PB,7,2,True
7ª Região - PB,5ª Região - PB,9,2,True
7ª Região - PB,6ª Região - PB,1,116,True
7ª Região - PB,6ª Região - PB,2,151,True
7ª Região - PB,6ª Região - PB,3,122,True
7ª Região - PB,6ª Região - PB,4,135,True
7ª Região - PB,6ª Região - PB,5,131,True
7ª Região - PB,6ª Região - PB,6,162,True
7ª Região - PB,6ª Região - PB,7,164,True
7ª Região - PB,6ª Região - PB,8,178,True
7ª Região - PB,6ª Região - PB,9,168,True
7ª Região - PB,6ª Região - PB,10,164,True
7ª Região - PB,6ª Região - PB,11,164,True
7ª Região - PB,6ª Região - PB,12,159,True
7ª Região - PB,7ª Região - PB,1,267,False
7ª Região - PB,7ª Região - PB,2,280,False
7ª Região - PB,7ª Região - PB,3,298,False
7ª Região - PB,7ª Região - PB,4,306,False
7ª Região - PB,7ª Região - PB,5,305,False
7ª Região - PB,7ª Região - PB,6,411,False
7ª Região - PB,7ª Região - PB,7,368,False
7ª Região - PB,7ª Região - PB,8,414,False
7ª Região - PB,7ª Região - PB,9,332,False
7ª Região - PB,7ª Região - PB,10,333,False
7ª Região - PB,7ª Região - PB,11,296,False
7ª Região - PB,7ª Região - PB,12,280,False
7ª Região - PB,8ª Região - PB,1,3,True
7ª Região - PB,8ª Região - PB,2,33,True
7ª Região - PB,8ª Região - PB,3,14,True
7ª Região - PB,8ª Região - PB,4,48,True
7ª Região - PB,8ª Região - PB,5,9,True
7ª Região - PB,8ª Região - PB,6,3,True
7ª Região - PB,8ª Região - PB,7,9,True
7ª Região - PB,8ª Região - PB,8,12,True
7ª Região - PB,8ª Região - PB,9,21,True
7ª Região - PB,8ª Região - PB,10,12,True
7ª Região - PB,8ª Região - PB,11,12,True
7ª Região - PB,8ª Região - PB,12,5,True
7ª Região - PB,9ª Região - PB,1,16,True
7ª Região - PB,9ª Região - PB,2,13,True
7ª Região - PB,9ª Região - PB,3,22,True
7ª Região - PB,9ª Região - PB,4,16,True
7ª Região - PB,9ª Região - PB,5,25,True
7ª Região - PB,9ª Região - PB,6,27,True
7ª Região - PB,9ª Região - PB,7,20,True
7ª Região - PB,9ª Região - PB,8,24,True
7ª Região - PB,9ª Região - PB,9,29,True
7ª Região - PB,9ª Região - PB,10,17,True
7ª Região - PB,9ª Região - PB,11,19,True
7ª Região - PB,9ª Região - PB,12,23,True
8ª Região - PB,10ª Região - PB,1,9,True
8ª Região - PB,10ª Região - PB,2,12,True
8ª Região - PB,10ª Região - PB,3,16,True
8ª Região - PB,10ª Região - PB,4,13,True
8ª Região - PB,10ª Região - PB,5,25,True
8ª Região - PB,10ª Região - PB,6,16,True
8ª Região - PB,10ª Região - PB,7,19,True
8ª Região - PB,10ª Região - PB,8,17,True
8ª Região - PB,10ª Região - PB,9,14,True
8ª Região - PB,10ª Região - PB,10,11,True
8ª Região - PB,10ª Região - PB,11,14,True
8ª Região - PB,10ª Região - PB,12,11,True
8ª Região - PB,11ª Região - PB,7,1,True
8ª Região - PB,12ª Região - PB,10,1,True
8ª Região - PB,13ª Região - PB,1,26,True
8ª Região - PB,13ª Região - PB,2,28,True
8ª Região - PB,13ª Região - PB,3,36,True
8ª Região - PB,13ª Região - PB,4,20,True
8ª Região - PB,13ª Região - PB,5,36,True
8ª Região - PB,13ª Região - PB,6,34,True
8ª Região - PB,13ª Região - PB,7,29,True
8ª Região - PB,13ª Região - PB,8,21,True
8ª Região - PB,13ª Região - PB,9,26,True
8ª Região - PB,13ª Região - PB,10,16,True
8ª Região - PB,13ª Região - PB,11,22,True
8ª Região - PB,13ª Região - PB,12,29,True
8ª Região - PB,14ª Região - PB,8,2,True
8ª Região - PB,14ª Região - PB,10,2,True
8ª Região - PB,16ª Região - PB,1,34,True
8ª Região - PB,16ª Região - PB,2,26,True
8ª Região - PB,16ª Região - PB,3,42,True
8ª Região - PB,16ª Região - PB,4,37,True
8ª Região - PB,16ª Região - PB,5,32,True
8ª Região - PB,16ª Região - PB,6,45,True
8ª Região - PB,16ª Região - PB,7,38,True
8ª Região - PB,16ª Região - PB,8,25,True
8ª Região - PB,16ª Região - PB,9,34,True
8ª Região - PB,16ª Região - PB,10,21,True
8ª Região - PB,16ª Região - PB,11,32,True
8ª Região - PB,16ª Região - PB,12,20,True
8ª Região - PB,1ª Região Mata Atlântica - PB,1,53,True
8ª Região - PB,1ª Região Mata Atlântica - PB,2,48,True
8ª Região - PB,1ª Região Mata Atlântica - PB,3,64,True
8ª Região - PB,1ª Região Mata Atlântica - PB,4,40,True
8ª Região - PB,1ª Região Mata Atlântica - PB,5,54,True
8ª Região - PB,1ª Região Mata Atlântica - PB,6,63,True
8ª Região - PB,1ª Região Mata Atlântica - PB,7,76,True
8ª Região - PB,1ª Região Mata Atlântica - PB,8,58,True
8ª Região - PB,1ª Região Mata Atlântica - PB,9,52,True
8ª Região - PB,1ª Região Mata Atlântica - PB,10,69,True
8ª Região - PB,1ª Região Mata Atlântica - PB,11,58,True
8ª Região - PB,1ª Região Mata Atlântica - PB,12,52,True
8ª Região - PB,4ª Região - PB,1,2,True
8ª Região - PB,4ª Região - PB,4,1,True
8ª Região - PB,4ª Região - PB,7,1,True
8ª Região - PB,4ª Região - PB,9,3,True
8ª Região - PB,4ª Região - PB,10,1,True
8ª Região - PB,4ª Região - PB,12,1,True
8ª Região - PB,6ª Região - PB,1,65,True
8ª Região - PB,6ª Região - PB,2,84,True
8ª Região - PB,6ª Região - PB,3,67,True
8ª Região - PB,6ª Região - PB,4,98,True
8ª Região - PB,6ª Região - PB,5,72,True
8ª Região - PB,6ª Região - PB,6,61,True
8ª Região - PB,6ª Região - PB,7,73,True
8ª Região - PB,6ª Região - PB,8,83,True
8ª Região - PB,6ª Região - PB,9,85,True
8ª Região - PB,6ª Região - PB,10,87,True
8ª Região - PB,6ª Região - PB,11,93,True
8ª Região - PB,6ª Região - PB,12,62,True
8ª Região - PB,7ª Região - PB,1,1,True
8ª Região - PB,7ª Região - PB,2,1,True
8ª Região - PB,7ª Região - PB,3,1,True
8ª Região - PB,7ª Região - PB,4,1,True
8ª Região - PB,7ª Região - PB,5,1,True
8ª Região - PB,7ª Região - PB,8,3,True
8ª Região - PB,7ª Região - PB,9,3,True
8ª Região - PB,8ª Região - PB,1,382,False
8ª Região - PB,8ª Região - PB,2,276,False
8ª Região - PB,8ª Região - PB,3,421,False
8ª Região - PB,8ª Região - PB,4,377,False
8ª Região - PB,8ª Região - PB,5,536,False
8ª Região - PB,8ª Região - PB,6,446,False
8ª Região - PB,8ª Região - PB,7,434,False
8ª Região - PB,8ª Região - PB,8,470,False
8ª Região - PB,8ª Região - PB,9,438,False
8ª Região - PB,8ª Região - PB,10,462,False
8ª Região - PB,8ª Região - PB,11,430,False
8ª Região - PB,8ª Região - PB,12,376,False
8ª Região - PB,9ª Região - PB,1,1,True
8ª Região - PB,9ª Região - PB,2,2,True
8ª Região - PB,9ª Região - PB,3,1,True
8ª Região - PB,9ª Região - PB,4,2,True
8ª Região - PB,9ª Região - PB,5,1,True
8ª Região - PB,9ª Região - PB,7,1,True
8ª Região - PB,9ª Região - PB,8,3,True
8ª Região - PB,9ª Região - PB,10,1,True
8ª Região - PB,9ª Região - PB,11,3,True
9ª Região - PB,10ª Região - PB,1,26,True
9ª Região - PB,10ª Região - PB,2,21,True
9ª Região - PB,10ª Região - PB,3,37,True
9ª Região - PB,10ª Região - PB,4,28,True
9ª Região - PB,10ª Região - PB,5,31,True
9ª Região - PB,10ª Região - PB,6,41,True
9ª Região - PB,10ª Região - PB,7,29,True
9ª Região - PB,10ª Região - PB,8,25,True
9ª Região - PB,10ª Região - PB,9,38,True
9ª Região - PB,10ª Região - PB,10,37,True
9ª Região - PB,10ª Região - PB,11,37,True
9ª Região - PB,10ª Região - PB,12,43,True
9ª Região - PB,12ª Região - PB,6,1,True
9ª Região - PB,13ª Região - PB,1,3,True
9ª Região - PB,13ª Região - PB,2,4,True
9ª Região - PB,13ª Região - PB,3,6,True
9ª Região - PB,13ª Região - PB,4,3,True
9ª Região - PB,13ª Região - PB,5,7,True
9ª Região - PB,13ª Região - PB,6,4,True
9ª Região - PB,13ª Região - PB,7,10,True
9ª Região - PB,13ª Região - PB,8,7,True
9ª Região - PB,13ª Região - PB,9,12,True
9ª Região - PB,13ª Região - PB,10,7,True
9ª Região - PB,13ª Região - PB,11,3,True
9ª Região - PB,13ª Região - PB,12,2,True
9ª Região - PB,14ª Região - PB,9,1,True
9ª Região - PB,14ª Região - PB,10,3,True
9ª Região - PB,16ª Região - PB,1,41,True
9ª Região - PB,16ª Região - PB,2,43,True
9ª Região - PB,16ª Região - PB,3,45,True
9ª Região - PB,16ª Região - PB,4,44,True
9ª Região - PB,16ª Região - PB,5,43,True
9ª Região - PB,16ª Região - PB,6,48,True
9ª Região - PB,16ª Região - PB,7,38,True
9ª Região - PB,16ª Região - PB,8,37,True
9ª Região - PB,16ª Região - PB,9,31,True
9ª Região - PB,16ª Região - PB,10,47,True
9ª Região - PB,16ª Região - PB,11,42,True
9ª Região - PB,16ª Região - PB,12,25,True
9ª Região - PB,1ª Região Mata Atlântica - PB,1,88,True
9ª Região - PB,1ª Região Mata Atlântica - PB,2,94,True
9ª Região - PB,1ª Região Mata Atlântica - PB,3,96,True
9ª Região - PB,1ª Região Mata Atlântica - PB,4,83,True
9ª Região - PB,1ª Região Mata Atlântica - PB,5,120,True
9ª Região - PB,1ª Região Mata Atlântica - PB,6,106,True
9ª Região - PB,1ª Região Mata Atlântica - PB,7,88,True
9ª Região - PB,1ª Região Mata Atlântica - PB,8,109,True
9ª Região - PB,1ª Região Mata Atlântica - PB,9,91,True
9ª Região - PB,1ª Região Mata Atlântica - PB,10,102,True
9ª Região - PB,1ª Região Mata Atlântica - PB,11,97,True
9ª Região - PB,1ª Região Mata Atlântica - PB,12,101,True
9ª Região - PB,2ª Região - PB,3,1,True
9ª Região - PB,2ª Região - PB,11,1,True
9ª Região - PB,4ª Região - PB,9,3,True
9ª Região - PB,4ª Região - PB,10,2,True
9ª Região - PB,5ª Região - PB,3,1,True
9ª Região - PB,5ª Região - PB,4,1,True
9ª Região - PB,5ª Região - PB,7,3,True
9ª Região - PB,6ª Região - PB,1,59,True
9ª Região - PB,6ª Região - PB,2,50,True
9ª Região - PB,6ª Região - PB,3,56,True
